seq_len,hidden_dim,F1,AUC,MAE,RMSE
5,64,0.6313888003400276,0.6438320814224737,0.4683238632343092,0.4839277347113003
5,32,0.627147766323024,0.6427001682656177,0.46862496202657233,0.48403537439515265
10,64,0.6234201990828766,0.6425782078826929,0.47101769358546575,0.4842819457455019
20,64,0.6211652794292509,0.6410542302921971,0.4678093925828882,0.484731450263293
20,32,0.6253078456667057,0.6409179596484923,0.47291888609375665,0.4848583173471893
10,32,0.6229802513464991,0.6406207725783517,0.4745565111593742,0.4851431107005223
